domain,problem,k,iterations,relevant_plans,irrelevant_plans,unfiltered_plans,processed_plans,relevant_plans_pctg,irrelevant_plans_pctg,unfiltered_plans_pctg,planning_time,extending_plans_time,task_reformulation_time,independent_planning_time,global_time,planning_time_pctg,extending_plans_time_pctg,task_reformulation_time_pctg,independent_planning_time_pctg
intrusion-detection,p3.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.13,0,0.06000000000000005,1.1600000000000001,1.6416139602661133,0.07919035969877254,0.0,0.03654939678404889,0.7066216711582781
intrusion-detection,p18.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.07000000000000006,1.2700000000000005,1.6377809047698975,0.08548151928762994,0.0,0.042740759643815004,0.775439496394929
intrusion-detection,p13.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.07000000000000006,1.1699999999999995,1.635990858078003,0.08557505031811426,0.0,0.04278752515905716,0.7151629205156688
intrusion-detection,p3.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.07999999999999985,9.869999999999992,11.669171571731567,0.011997424079284976,0.0,0.006855670902448544,0.84581839758959
intrusion-detection,p8.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.07000000000000006,10.6,11.82253098487854,0.011841795989290724,0.0,0.0059208979946453666,0.8965931249034405
intrusion-detection,p5.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.13,0,0.08000000000000007,21.709999999999997,23.48273205757141,0.0055359827673068735,0.0,0.003406758626035002,0.9245091221402477
intrusion-detection,p8.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.13,0,0.06999999999999984,2.2799999999999994,2.751539468765259,0.047246278483636266,0.0,0.025440303798881007,0.8286270380206973
intrusion-detection,p5.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.06999999999999984,10.9,11.827509641647339,0.011836811318845036,0.0,0.005918405659422503,0.9215803098243635
intrusion-detection,p15.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.14,0,0.06999999999999984,5.560000000000001,6.201507568359375,0.022575155872467535,0.0,0.011287577936233742,0.8965561903637108
intrusion-detection,p16.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.16000000000000003,0,0.08000000000000007,21.58000000000001,23.432963132858276,0.006827988380848178,0.0,0.0034139941904240915,0.9209249328668982
intrusion-detection,p17.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.08000000000000007,10.919999999999993,12.103850603103638,0.011566567086023152,0.0,0.0066094669062989496,0.9021922327098052
intrusion-detection,p14.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.13,0,0.08000000000000007,5.349999999999998,6.155856132507324,0.02111810237304069,0.0,0.012995755306486589,0.8690911361212895
intrusion-detection,p8.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.15000000000000002,0,0.08000000000000007,20.92999999999999,22.9646999835968,0.006531763972842748,0.0,0.0034836074521828013,0.9113987996773241
intrusion-detection,p19.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.09000000000000008,2.2699999999999982,2.7949891090393066,0.050089640616925626,0.0,0.03220048325373793,0.8121677442887218
intrusion-detection,p15.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.13,0,0.06999999999999984,1.27,1.6346120834350586,0.07952957237830474,0.0,0.04282361589601015,0.7769427455419001
intrusion-detection,p0.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.06999999999999984,2.5899999999999994,3.3060872554779053,0.04234612978469698,0.0,0.02117306489234844,0.7834034010168939
intrusion-detection,p9.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.08000000000000007,1.3199999999999998,1.7314555644989014,0.08085682524605664,0.0,0.046203900140603826,0.7623643523199624
intrusion-detection,p16.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.13,0,0.08000000000000007,5.55,6.15161657333374,0.02113265650585716,0.0,0.013004711695912111,0.9022018739039018
intrusion-detection,p15.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.07999999999999985,21.49,23.49805998802185,0.0059579386583983995,0.0,0.00340453637622765,0.9145435840641541
intrusion-detection,p10.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.15000000000000002,0,0.08000000000000007,11.230000000000004,13.493196487426758,0.011116713533355358,0.0,0.005928913884456196,0.832271286530538
intrusion-detection,p4.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.14,0,0.06999999999999984,5.589999999999999,6.260399341583252,0.022362790672167263,0.0,0.011181395336083604,0.8929142846958211
intrusion-detection,p10.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.09000000000000008,22.279999999999998,26.263728141784668,0.005330545581503524,0.0,0.003426779302395125,0.8483182539707035
intrusion-detection,p11.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.08999999999999986,20.329999999999995,22.861163854599,0.006123922687857211,0.0,0.003936807442193915,0.8892810588866932
intrusion-detection,p14.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.07000000000000006,2.26,2.757920265197754,0.05076288889373002,0.0,0.02538144444686503,0.819458063570213
intrusion-detection,p13.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.14,0,0.08000000000000007,5.0600000000000005,6.1071295738220215,0.022924026469014952,0.0,0.013099443696579982,0.8285398138086832
